DriverNumber,LapNumber,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,TyreLife,HARD,INTERMEDIATE,MEDIUM,SOFT,WET
33,12.0,23.315,31.000000000000004,28.220000000000002,269.0,264.0,276.0,15.0,0,0,0,1,0
33,13.0,23.264000000000003,31.068,28.285,273.0,267.0,275.0,16.0,0,0,0,1,0
33,14.0,23.380000000000003,30.992,28.316000000000003,271.0,265.0,275.0,17.0,0,0,0,1,0
33,15.0,23.403000000000002,31.063000000000002,28.384,269.0,267.0,275.0,18.0,0,0,0,1,0
33,17.0,23.468,31.178,28.369000000000003,267.0,265.0,275.0,20.0,0,0,0,1,0
33,18.0,23.432000000000002,31.165000000000003,28.444000000000003,268.0,267.0,276.0,21.0,0,0,0,1,0
33,22.0,23.322000000000003,30.881,27.989,270.0,264.0,274.0,2.0,0,0,0,1,0
33,23.0,23.373,30.799000000000003,28.051000000000002,268.0,263.0,274.0,3.0,0,0,0,1,0
33,24.0,23.342000000000002,30.795,28.146,266.0,267.0,275.0,4.0,0,0,0,1,0
33,25.0,23.322000000000003,30.853,28.14,267.0,266.0,276.0,5.0,0,0,0,1,0
33,26.0,23.295,31.092000000000002,28.516000000000002,271.0,263.0,276.0,6.0,0,0,0,1,0
33,27.0,23.255000000000003,31.171000000000003,28.274,269.0,261.0,277.0,7.0,0,0,0,1,0
33,28.0,23.403000000000002,30.831000000000003,28.092000000000002,270.0,265.0,277.0,8.0,0,0,0,1,0
33,29.0,23.176000000000002,30.770000000000003,28.773000000000003,272.0,265.0,285.0,9.0,0,0,0,1,0
33,32.0,23.203000000000003,30.477,28.245,270.0,264.0,275.0,12.0,0,0,0,1,0
33,33.0,23.222,30.496000000000002,28.126,271.0,267.0,276.0,13.0,0,0,0,1,0
33,34.0,23.194000000000003,30.613000000000003,28.144000000000002,270.0,269.0,278.0,14.0,0,0,0,1,0
33,35.0,23.181,30.917,28.091,275.0,278.0,276.0,15.0,0,0,0,1,0
33,36.0,23.07,30.650000000000002,28.059,273.0,267.0,276.0,16.0,0,0,0,1,0
33,37.0,23.177000000000003,30.495,28.139000000000003,272.0,271.0,278.0,17.0,0,0,0,1,0
33,38.0,23.282,30.684,28.071,278.0,269.0,278.0,18.0,0,0,0,1,0
33,39.0,23.115000000000002,30.51,28.202,274.0,271.0,276.0,19.0,0,0,0,1,0
33,40.0,23.168000000000003,30.676000000000002,28.227,277.0,254.0,276.0,20.0,0,0,0,1,0
33,41.0,23.187,30.443,28.130000000000003,274.0,270.0,277.0,21.0,0,0,0,1,0
33,45.0,22.747,29.970000000000002,27.491000000000003,279.0,274.0,292.0,2.0,0,0,1,0,0
33,54.0,22.937,30.334000000000003,27.855,280.0,270.0,280.0,11.0,0,0,1,0,0
33,55.0,22.824,29.918000000000003,27.46,286.0,280.0,278.0,12.0,0,0,1,0,0
33,58.0,22.672,29.877000000000002,27.767000000000003,284.0,281.0,277.0,15.0,0,0,1,0,0
33,59.0,22.701,29.841,27.586000000000002,285.0,284.0,278.0,16.0,0,0,1,0,0
33,61.0,22.67,29.815,27.548000000000002,286.0,281.0,278.0,18.0,0,0,1,0,0
33,63.0,22.698,29.878,27.711000000000002,287.0,284.0,278.0,20.0,0,0,1,0,0
33,64.0,22.666,29.813000000000002,27.514000000000003,285.0,286.0,278.0,21.0,0,0,1,0,0
33,65.0,22.752000000000002,29.945,27.498,286.0,287.0,279.0,22.0,0,0,1,0,0
33,66.0,22.697000000000003,29.958000000000002,27.794,284.0,285.0,237.0,23.0,0,0,1,0,0
44,2.0,31.473000000000003,42.727000000000004,23.793000000000003,235.0,245.0,280.0,5.0,0,0,0,1,0
44,3.0,30.677000000000003,42.383,23.699,233.0,247.0,279.0,6.0,0,0,0,1,0
44,4.0,30.92,42.480000000000004,24.169,234.0,241.0,278.0,7.0,0,0,0,1,0
44,5.0,30.881,42.314,23.772000000000002,236.0,244.0,280.0,8.0,0,0,0,1,0
44,7.0,30.659000000000002,43.04,23.938000000000002,234.0,245.0,279.0,10.0,0,0,0,1,0
44,11.0,30.647000000000002,42.773,23.896,229.0,246.0,281.0,14.0,0,0,0,1,0
44,15.0,30.039,41.342000000000006,23.470000000000002,236.0,246.0,295.0,2.0,0,0,0,1,0
44,16.0,29.853,41.445,23.346,238.0,247.0,281.0,3.0,0,0,0,1,0
44,17.0,30.148000000000003,41.874,23.482000000000003,235.0,247.0,281.0,4.0,0,0,0,1,0
44,18.0,30.311000000000003,42.190000000000005,23.451,236.0,247.0,281.0,5.0,0,0,0,1,0
44,20.0,30.514000000000003,42.239000000000004,23.609,238.0,246.0,280.0,7.0,0,0,0,1,0
44,21.0,30.515,42.522000000000006,23.603,236.0,250.0,280.0,8.0,0,0,0,1,0
44,22.0,30.560000000000002,42.531000000000006,23.517000000000003,231.0,247.0,280.0,9.0,0,0,0,1,0
44,23.0,31.14,42.830000000000005,23.882,233.0,260.0,288.0,10.0,0,0,0,1,0
44,24.0,30.417,42.586000000000006,24.014000000000003,236.0,252.0,281.0,11.0,0,0,0,1,0
44,28.0,30.417,42.961000000000006,23.851000000000003,238.0,249.0,281.0,15.0,0,0,0,1,0
44,29.0,30.731,42.914,23.841,236.0,246.0,281.0,16.0,0,0,0,1,0
44,30.0,30.654000000000003,42.715,23.756,238.0,252.0,282.0,17.0,0,0,0,1,0
44,32.0,30.941000000000003,43.415000000000006,23.73,237.0,246.0,282.0,19.0,0,0,0,1,0
44,33.0,30.585,42.756,23.826,240.0,250.0,282.0,20.0,0,0,0,1,0
44,36.0,29.775000000000002,40.716,23.037000000000003,238.0,256.0,293.0,2.0,0,0,1,0,0
44,37.0,29.181,42.24,23.301000000000002,235.0,249.0,295.0,3.0,0,0,1,0,0
44,38.0,29.265,41.64,23.477,233.0,248.0,281.0,4.0,0,0,1,0,0
44,39.0,30.218000000000004,41.789,23.240000000000002,239.0,247.0,282.0,5.0,0,0,1,0,0
44,40.0,30.193,41.818000000000005,23.304000000000002,238.0,247.0,282.0,6.0,0,0,1,0,0
44,43.0,30.066000000000003,41.370000000000005,23.267000000000003,239.0,250.0,281.0,9.0,0,0,1,0,0
44,44.0,30.095000000000002,41.75,23.233,240.0,252.0,281.0,10.0,0,0,1,0,0
44,45.0,30.177000000000003,41.764,23.172,239.0,250.0,282.0,11.0,0,0,1,0,0
44,46.0,30.189000000000004,42.325,23.873,238.0,254.0,278.0,12.0,0,0,1,0,0
44,47.0,30.313000000000002,42.008,23.345000000000002,242.0,250.0,284.0,13.0,0,0,1,0,0
44,48.0,30.263,42.823,23.951,237.0,236.0,282.0,14.0,0,0,1,0,0
44,49.0,30.802000000000003,42.31,23.69,238.0,247.0,278.0,15.0,0,0,1,0,0
44,50.0,30.713,42.046,23.547,236.0,243.0,279.0,16.0,0,0,1,0,0
44,53.0,30.302000000000003,42.705000000000005,23.687,234.0,246.0,280.0,19.0,0,0,1,0,0
44,54.0,30.735000000000003,42.378,23.708000000000002,237.0,248.0,280.0,20.0,0,0,1,0,0
44,55.0,31.518,46.574000000000005,31.877000000000002,238.0,113.0,203.0,21.0,0,0,1,0,0
33,2.0,31.094,43.412000000000006,24.212,234.0,243.0,277.0,5.0,0,0,0,1,0
33,4.0,31.223000000000003,42.938,24.247,230.0,247.0,276.0,7.0,0,0,0,1,0
33,5.0,30.871000000000002,42.796,24.204,234.0,244.0,277.0,8.0,0,0,0,1,0
33,6.0,30.906000000000002,42.634,24.109,235.0,248.0,277.0,9.0,0,0,0,1,0
33,8.0,30.834000000000003,42.742000000000004,24.083000000000002,234.0,245.0,278.0,11.0,0,0,0,1,0
33,9.0,30.787000000000003,42.501000000000005,24.201,235.0,249.0,277.0,12.0,0,0,0,1,0
33,10.0,30.856,42.719,24.075000000000003,234.0,248.0,278.0,13.0,0,0,0,1,0
33,14.0,31.026000000000003,42.418,23.833000000000002,238.0,245.0,286.0,3.0,0,0,1,0,0
33,15.0,30.177000000000003,42.197,23.823,237.0,246.0,278.0,4.0,0,0,1,0,0
33,16.0,30.888,42.128,23.895000000000003,233.0,243.0,278.0,5.0,0,0,1,0,0
33,17.0,30.6,42.177,23.975,234.0,244.0,278.0,6.0,0,0,1,0,0
33,18.0,30.592000000000002,42.546,23.776,235.0,245.0,279.0,7.0,0,0,1,0,0
33,19.0,30.623,42.304,23.779,237.0,245.0,278.0,8.0,0,0,1,0,0
33,20.0,30.754,42.532000000000004,23.781000000000002,233.0,247.0,279.0,9.0,0,0,1,0,0
33,21.0,30.587000000000003,42.27,23.804000000000002,237.0,248.0,279.0,10.0,0,0,1,0,0
33,23.0,30.919,42.554,23.926000000000002,235.0,246.0,279.0,12.0,0,0,1,0,0
33,24.0,31.015,42.602000000000004,23.865000000000002,238.0,249.0,279.0,13.0,0,0,1,0,0
33,25.0,31.008000000000003,42.725,23.944000000000003,237.0,248.0,279.0,14.0,0,0,1,0,0
33,26.0,30.936000000000003,42.656000000000006,24.034000000000002,236.0,247.0,279.0,15.0,0,0,1,0,0
33,27.0,30.811000000000003,43.088,24.121000000000002,235.0,245.0,279.0,16.0,0,0,1,0,0
33,28.0,30.880000000000003,42.976000000000006,24.088,237.0,248.0,279.0,17.0,0,0,1,0,0
33,29.0,30.782000000000004,43.057,24.005000000000003,236.0,249.0,280.0,18.0,0,0,1,0,0
33,31.0,31.203000000000003,43.495000000000005,24.149,240.0,251.0,279.0,20.0,0,0,1,0,0
33,34.0,30.615000000000002,41.828,23.997,239.0,251.0,287.0,2.0,0,0,1,0,0
33,35.0,30.085,41.884,23.385,240.0,244.0,281.0,3.0,0,0,1,0,0
33,36.0,30.775000000000002,41.861000000000004,23.799000000000003,237.0,238.0,280.0,4.0,0,0,1,0,0
33,37.0,30.552000000000003,42.053000000000004,23.576,240.0,245.0,280.0,5.0,0,0,1,0,0
33,38.0,30.551000000000002,41.994,23.531000000000002,237.0,250.0,282.0,6.0,0,0,1,0,0
33,39.0,30.531000000000002,42.481,23.348000000000003,240.0,246.0,281.0,7.0,0,0,1,0,0
